HIP 84893  ;17 21 00.3752009 -21 06 46.566283      
HIP 85042  ;17 22 51.2877095327 -02 23 17.439826176
HIP 85235  ;17 25 00.0982708577 +67 18 24.150141561
HIP 85295  ;17 25 45.2323043669 +02 06 41.123668100
HIP 85523  ;17 28 39.9455601300 -46 53 42.693246243
HIP 86162  ;17 36 25.8991699744 +68 20 20.904135942
HIP 86400  ;17 39 16.9163262 +03 33 18.875718      
HIP 86486  ;17 40 23.8255179884 -49 24 56.104103575
HIP 86620  ;17 41 58.1041581273 +72 09 24.836647212
HIP 86736  ;17 43 25.7937012 -21 40 59.497954      
HIP 86796  ;17 44 08.7036342277 -51 50 02.591049123
HIP 86974  ;17 46 27.5266778 +27 43 14.437984      
HIP 88574  ;18 05 07.5787546501 -03 01 52.753216025
HIP 88601  ;18 05 27.28518 +02 30 00.3558          
HIP 88694  ;18 06 23.7191233831 -36 01 11.229463639
HIP 88745  ;18 07 01.53971 +30 33 43.6896          
HIP 88972  ;18 09 37.4162810870 +38 27 27.995921559
HIP 89042  ;18 10 26.1511772984 -62 00 08.059294747
HIP 89348  ;18 13 53.8327884671 +64 23 50.225272101
HIP 89805  ;18 19 40.13138 -63 53 11.6282          
HIP 90790  ;18 31 18.9612203327 -18 54 31.732564617
HIP 91768  ;18 42 46.7048533410 +59 37 49.411785651
HIP 91772  ;18 42 46.8942178098 +59 37 36.723092516
HIP 93858  ;19 06 52.4643138830 -37 48 38.372801262
HIP 94761  ;19 16 55.2565250393 +05 10 08.038856129
HIP 95149  ;19 21 29.7277723051 -34 59 00.356331012
HIP 95319  ;19 23 34.0133626629 +33 13 19.074920892
HIP 95447  ;19 24 58.2002406780 +11 56 39.882312617
HIP 96100  ;19 32 21.5902990 +69 39 40.234737      
HIP 96441  ;19 36 26.5343563 +50 13 15.964573      
HIP 96895  ;19 41 48.9539315338 +50 31 30.218780803
HIP 97295  ;19 46 25.5997765489 +33 43 39.342745085
HIP 97675  ;19 51 01.6437560393 +10 24 56.595177367
HIP 97944  ;19 54 17.7452778997 -23 56 27.862976419
HIP 98036  ;19 55 18.7925630 +06 24 24.342501      
HIP 98470  ;20 00 20.2490835420 -33 42 12.427710024
HIP 98767  ;20 03 37.4049065078 +29 53 48.495330996
HIP 98959  ;20 05 32.7652367983 -67 19 15.228862402
HIP 99240  ;20 08 43.6094697 -66 10 55.443275      
HIP 99461  ;20 11 11.9384853308 -36 06 04.353559455
HIP 99701  ;20 13 53.3963903475 -45 09 50.473460317
HIP 99825  ;20 15 17.3916558603 -27 01 58.713584596
HIP 100017 ;20 17 31.3282807419 +66 51 13.281593047
HIP 100925 ;20 27 44.2428093744 -30 52 04.246660714
HIP 101997 ;20 40 11.7546336973 -23 46 25.924674471
HIP 102040 ;20 40 45.1407864181 +19 56 07.928511642
HIP 102485 ;20 46 05.7326265 -25 16 15.231155      
HIP 103096 ;20 53 19.7890710784 +62 09 15.813717444
HIP 103389 ;20 56 47.3303687041 -26 17 46.969399809
HIP 104214 ;21 06 53.9396100677 +38 44 57.897024357
HIP 104217 ;21 06 55.2640651855 +38 44 31.362140913
HIP 105090 ;21 17 15.2688576495 -38 52 02.510022611
HIP 105858 ;21 26 26.6048372 -65 21 58.314484      
HIP 106440 ;21 33 33.9749932664 -49 00 32.403471949
HIP 107350 ;21 44 31.3299733695 +14 46 18.982331039
HIP 107649 ;21 48 15.7510673466 -47 18 13.020109072
HIP 108870 ;22 03 21.6542294981 -56 47 09.537018193
HIP 109176 ;22 07 00.6620572743 +25 20 42.376138495
HIP 109422 ;22 10 08.7803395485 -32 32 54.275502381
HIP 110649 ;22 24 56.3720716646 -57 47 50.824747845
HIP 111449 ;22 34 41.6367033191 -20 42 29.574530725
HIP 112447 ;22 46 41.5811758 +12 10 22.385447      
HIP 112460 ;22 46 49.7311740821 +44 20 02.372223230
HIP 113020 ;22 53 16.7323107416 -14 15 49.303409936
HIP 113283 ;22 56 24.0532946025 -31 33 56.035064606
HIP 113357 ;22 57 27.9804167474 +20 46 07.782240714
HIP 113421 ;22 58 15.5411942071 -02 23 43.387117210
HIP 113576 ;23 00 16.1224771183 -22 31 27.651428500
HIP 114046 ;23 05 52.0354545522 -35 51 11.058757520
HIP 114622 ;23 13 16.9747821012 +57 10 06.076520993
HIP 114924 ;23 16 42.3028134294 +53 12 48.514282989
HIP 114948 ;23 16 57.6873978547 -62 00 04.318777045
HIP 116085 ;23 31 22.2087185647 +59 09 55.866485371
HIP 116745 ;23 39 37.3871312596 -72 43 19.757339908
HIP 116771 ;23 39 57.0413764 +05 37 34.647529      
HIP 117473 ;23 49 12.5251391270 +02 24 04.403044891
HIP 117712 ;23 52 25.4066877164 +75 32 40.368591630
